3017620429484,Nutella - Ferrero - 825 g,1,2,FALSE,
3560070472888,Pâte à tartiner - Carrefour Bio - 350 g,1,1,TRUE,
5410126006957,The original speculoos - Lotus - 400 g,1,4,FALSE,
3700774300487,Pâte à tartiner Speculos - Speculoos ,1,3,TRUE,
3760091721747,Beurre de cacahuètes - Ethiquable - 350 g,1,6,FALSE,
8710795630918,peanut butter - Jack Klijn - 350 gr,1,5,TRUE,
3045320001525,Confiture Extra Fraises - Bonne Maman - 370 g,2,8,FALSE,
3245390163868,Confiture extra de fraises du Perigord - Reflets de France,2,7,TRUE,
3608580750031,Confiture à L\'Abricot Fruitée Intense - Bonne Maman - 340 g,2,10,FALSE,
3245390034830,Confiture d\'abricots du Roussillon - Reflets de France - 325 g,2,9,TRUE,
3045320001648,Confiture orange en tranches - Bonne Maman - 370 g,2,12,FALSE,
3245390060709,Confiture d\'oranges et de clémentines de Corse - Reflets de France - 325 g,2,11,TRUE,
2001111060035,Coulis de fraises cuit à la marmite - Atelier Des Gouts Sucres,3,14,FALSE,
3228170819506,Coulis Fraises Ponthier - 1 Kg,3,13,TRUE,
3088542500278,Pur Sirop d\'érable - Maple joe - 250 g,3,16,FALSE,
0815126002179,Sirop D\'érable 250g Pur 100% Origine Canada - Nokomis - 250 g,3,15,TRUE,
3088545004001,Miel de fleurs - Lune de Miel - 500 g,3,18,FALSE,
3088540202860,Miel l\'Apiculteur : Poitou-Charente, Le Pot 500G - 500 g,3,17,TRUE,
